idDatosGrasas,codigoGrasa,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Punto de Gota, °C","Estabilidad Mecánica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm","Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80°C, %",Clasificacion ISO 6743-9,Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",subtitulo,descripcion,beneficios,aplicaciones,color,textura
52,ANDEROL  FGCS-2,Aceite Blanco,Complejo Sulfonato de Calcio,2,95.0,265 – 295,318,,407.8,,,0.3,,,-20.0,160.0,,"ANDEROL  FGCS  2  is  an  over-based  Calcium  Sulfonate  based  grease  with  exceptional  load carrying ability, excellent mechanical stability and good resistance to oxidation and corrosion. ","Superior mechanical stability, particularly in the presence of heat and water. · formulated to resist separation under centrifugal forces. · Excellent rust prevention properties . · Excellent rust prevention properties . · Excellent load carrying ability and wear protection . · Excellent resistance to water washout and spray-off ",H1 grease for incidental contact with food. Heavy duty food-grade applications. ,Beige,
53,Delo® Grease EP 00 235212,,Complejo de Litio,0,226.0,415,,,315.0,0.45,50.0,,,,-40.0,132.0,,"Delo® Greases EP are technically advanced, extreme  pressure greases for a wide variety of on-road  applications. NLGI 00 and 0 can be  used at temperatures as low as -34°C (-30°F). Delo Greases EP exceed the requirements of NLGI GC- LB for EP protection and rust protection, making them  well suited for the most severe applications.","Delo Greases EP are specially formulated for extreme  pressure wheel bearing and chassis applications  including the steering drag links, king pins,  transmission cross shaft spring pins, shackle pins,  brake cam shafts, and fifth wheel faceplates and pivots  operating under high and low temperature conditions.  The high viscosity index base oil makes these products  perfect for the centralized lubrication systems found on  today’s mobile equipment",Delo Greases EP are designed for extreme duty in a  wide variety of on-highway and light duty off-road  vehicle and equipment applications. On-highway heavy duty trucks. Light Duty Off-Road vehicles. Medium- and light-duty trucks and buses. Automobiles.,Azul,Adherente
54,Delo® Grease EP 0 235211,,Complejo de Litio,0,226.0,370,235,,315.0,0.45,50.0,,,,-40.0,132.0,,"Delo® Greases EP are technically advanced, extreme  pressure greases for a wide variety of on-road  applications. NLGI 00 and 0 can be  used at temperatures as low as -34°C (-30°F). Delo Greases EP exceed the requirements of NLGI GC- LB for EP protection and rust protection, making them  well suited for the most severe applications.","Delo Greases EP are specially formulated for extreme  pressure wheel bearing and chassis applications  including the steering drag links, king pins,  transmission cross shaft spring pins, shackle pins,  brake cam shafts, and fifth wheel faceplates and pivots  operating under high and low temperature conditions.  The high viscosity index base oil makes these products  perfect for the centralized lubrication systems found on  today’s mobile equipment",Delo Greases EP are designed for extreme duty in a  wide variety of on-highway and light duty off-road  vehicle and equipment applications. On-highway heavy duty trucks. Light Duty Off-Road vehicles. Medium- and light-duty trucks and buses. Automobiles.,Azul,Adherente
55,Delo® Grease EP 1 235209 ,,Complejo de Litio,1,226.0,325,245,,315.0,0.45,50.0,,,,-40.0,177.0,,"Delo® Greases EP are technically advanced, extreme  pressure greases for a wide variety of on-road  applications. NLGI 1 and 2 are recommended for  applications operating in the temperature range of  -18°C to 177°C (0°F to 350°F). Delo Greases EP exceed the requirements of NLGI GC- LB for EP protection and rust protection, making them  well suited for the most severe applications.","Delo Greases EP are specially formulated for extreme  pressure wheel bearing and chassis applications  including the steering drag links, king pins,  transmission cross shaft spring pins, shackle pins,  brake cam shafts, and fifth wheel faceplates and pivots  operating under high and low temperature conditions.  The high viscosity index base oil makes these products  perfect for the centralized lubrication systems found on  today’s mobile equipment",Delo Greases EP are designed for extreme duty in a  wide variety of on-highway and light duty off-road  vehicle and equipment applications. On-highway heavy duty trucks. Light Duty Off-Road vehicles. Medium- and light-duty trucks and buses. Automobiles.,Azul,Adherente
56,Delo® Grease EP 2 235208,,Complejo de Litio,2,226.0,280,255,,315.0,0.45,50.0,,,,-40.0,177.0,,"Delo® Greases EP are technically advanced, extreme  pressure greases for a wide variety of on-road  applications. NLGI 1 and 2 are recommended for  applications operating in the temperature range of  -18°C to 177°C (0°F to 350°F). Delo Greases EP exceed the requirements of NLGI GC- LB for EP protection and rust protection, making them  well suited for the most severe applications.","Delo Greases EP are specially formulated for extreme  pressure wheel bearing and chassis applications  including the steering drag links, king pins,  transmission cross shaft spring pins, shackle pins,  brake cam shafts, and fifth wheel faceplates and pivots  operating under high and low temperature conditions.  The high viscosity index base oil makes these products  perfect for the centralized lubrication systems found on  today’s mobile equipment",Delo Greases EP are designed for extreme duty in a  wide variety of on-highway and light duty off-road  vehicle and equipment applications. On-highway heavy duty trucks. Light Duty Off-Road vehicles. Medium- and light-duty trucks and buses. Automobiles.,Azul,Adherente
57,Starplex EP 1  M3 254649,,Complejo de Litio,M3,220.0,325,245,,400.0,0.43,50.0,,,,-40.0,177.0,,Starplex® EP es una línea completa de grasas que  están disponibles con o sin disulfuro de molibdeno.  Estas grasas son grasas de presión extrema  técnicamente avanzadas para una amplia variedad de  aplicaciones en carretera.,"BENEFICIOS PARA EL CLIENTE  Las grasas Starplex EP proporcionan valor a través de: • Capacidad de cargas pesadas de presión  extrema - Protección contra la carga de choque, lo  que favorece una larga vida útil • Excelente protección contra corrosión y  desgaste - Incluso en condiciones húmedas • Excelente resistencia al agua - Buena  resistencia al lavado de los rodamientos • Excelente estabilidad a alta temperatura -  Ofrece protección duradera para los rodamientos • Excelente capacidad de bombeo a baja  temperatura - Fácil manejo en el contenedor y  equipo de distribución de grasa","Las grasas Starplex EP están diseñadas para un uso  extremo en una amplia variedad de aplicaciones de  vehículos y equipos de carretera y todoterreno ligeros.  Adecuada para las aplicaciones en Volvo 97720 (NLGI  Grado 2). Camiones de carga pesada en carreteras - Estos  lubricantes son perfectos para una amplia variedad de  camiones de la clase 8 en la mayoría de las  aplicaciones de chasis y rodamientos (cojinetes de  bolas), que comprenden desde sistemas automáticos  de engrase centralizado hasta rodamientos (cojinetes  de bolas) que funcionan cerca de las altas  temperaturas de los frenos de disco. Este producto es  apto para la mayoría de las aplicaciones, desde  propietarios/operadores hasta flotas (especialmente  aquellas que consideran intervalos prolongados de  servicio de mantenimiento). Vehículos todoterreno ligeros - Tanto si la  aplicación es en la explotación forestal, la agricultura o  los servicios públicos, estas grasas tendrán un buen  desempeño. Utilícelas en tractores, recolectoras de  cerezas o en cualquiera de los numerosos vehículos  todoterreno ligeros. Para aplicaciones de construcción  pesada y minería, consulte la Hoja de datos del  producto Grasa Chevron Starplex HD. Camiones y autobuses medianos y ligeros - Al  igual que sus homólogos de servicio pesado, los  vehículos y autobuses de las clases 7 y 6 requieren una  grasa para uso extremo. Las grasas Starplex EP le  proporcionarán ese desempeño. Automóviles - Las grasas Starplex EP son lubricantes  excepcionales para rodamientos (cojinetes de bolas) de  alta temperatura y otras aplicaciones automotrices de  alto desempeño. Vehículos de carga pesada para construcción y  mantenimiento de carreteras y vías no  asfaltadas - Estos productos son indicados para  engrasar piezas de vehículos pesados de carretera y  todoterreno. Las grasas Starplex EP son una excelente  elección para pernos rey, bujes y pernos de cubo,  quintas ruedas y otras aplicaciones de servicio severo  que se encuentran en este tipo de vehículos. También  son ideales para las aplicaciones de carga pesada en  carreteras, así como para equipo diverso de uso mixto.  Las grasas Starplex EP cumplen con los requisitos de la  especificación para grasa de Mack MG-C. De la misma  forma, cumplen con las recomendaciones de Caterpillar  sobre grasas con un contenido de 3 % de disulfuro de  molibdeno. Las grasas Starplex EP son NLGI GC- LB certificada (NLGI 1 y 2).  15 marzo 2025",Negro,Suave
58,Starplex EP 2  M3 254650,,Complejo de Litio,M3,220.0,280,255,,400.0,0.43,50.0,,,,-40.0,177.0,,Starplex® EP es una línea completa de grasas que  están disponibles con o sin disulfuro de molibdeno.  Estas grasas son grasas de presión extrema  técnicamente avanzadas para una amplia variedad de  aplicaciones en carretera.,"BENEFICIOS PARA EL CLIENTE  Las grasas Starplex EP proporcionan valor a través de: • Capacidad de cargas pesadas de presión  extrema - Protección contra la carga de choque, lo  que favorece una larga vida útil • Excelente protección contra corrosión y  desgaste - Incluso en condiciones húmedas • Excelente resistencia al agua - Buena  resistencia al lavado de los rodamientos • Excelente estabilidad a alta temperatura -  Ofrece protección duradera para los rodamientos • Excelente capacidad de bombeo a baja  temperatura - Fácil manejo en el contenedor y  equipo de distribución de grasa","Las grasas Starplex EP están diseñadas para un uso  extremo en una amplia variedad de aplicaciones de  vehículos y equipos de carretera y todoterreno ligeros.  Adecuada para las aplicaciones en Volvo 97720 (NLGI  Grado 2). Camiones de carga pesada en carreteras - Estos  lubricantes son perfectos para una amplia variedad de  camiones de la clase 8 en la mayoría de las  aplicaciones de chasis y rodamientos (cojinetes de  bolas), que comprenden desde sistemas automáticos  de engrase centralizado hasta rodamientos (cojinetes  de bolas) que funcionan cerca de las altas  temperaturas de los frenos de disco. Este producto es  apto para la mayoría de las aplicaciones, desde  propietarios/operadores hasta flotas (especialmente  aquellas que consideran intervalos prolongados de  servicio de mantenimiento). Vehículos todoterreno ligeros - Tanto si la  aplicación es en la explotación forestal, la agricultura o  los servicios públicos, estas grasas tendrán un buen  desempeño. Utilícelas en tractores, recolectoras de  cerezas o en cualquiera de los numerosos vehículos  todoterreno ligeros. Para aplicaciones de construcción  pesada y minería, consulte la Hoja de datos del  producto Grasa Chevron Starplex HD. Camiones y autobuses medianos y ligeros - Al  igual que sus homólogos de servicio pesado, los  vehículos y autobuses de las clases 7 y 6 requieren una  grasa para uso extremo. Las grasas Starplex EP le  proporcionarán ese desempeño. Automóviles - Las grasas Starplex EP son lubricantes  excepcionales para rodamientos (cojinetes de bolas) de  alta temperatura y otras aplicaciones automotrices de  alto desempeño. Vehículos de carga pesada para construcción y  mantenimiento de carreteras y vías no  asfaltadas - Estos productos son indicados para  engrasar piezas de vehículos pesados de carretera y  todoterreno. Las grasas Starplex EP son una excelente  elección para pernos rey, bujes y pernos de cubo,  quintas ruedas y otras aplicaciones de servicio severo  que se encuentran en este tipo de vehículos. También  son ideales para las aplicaciones de carga pesada en  carreteras, así como para equipo diverso de uso mixto.  Las grasas Starplex EP cumplen con los requisitos de la  especificación para grasa de Mack MG-C. De la misma  forma, cumplen con las recomendaciones de Caterpillar  sobre grasas con un contenido de 3 % de disulfuro de  molibdeno. Las grasas Starplex EP son NLGI GC- LB certificada (NLGI 1 y 2).  15 marzo 2025",Negro,Suave
59,Starplex EP 00 235212,,Complejo de Litio,0,220.0,415,,,315.0,0.45,50.0,,,,-40.0,132.0,,Starplex® EP es una línea completa de grasas que  están disponibles con o sin disulfuro de molibdeno.  Estas grasas son grasas de presión extrema  técnicamente avanzadas para una amplia variedad de  aplicaciones en carretera.,"BENEFICIOS PARA EL CLIENTE  Las grasas Starplex EP proporcionan valor a través de: • Capacidad de cargas pesadas de presión  extrema - Protección contra la carga de choque, lo  que favorece una larga vida útil • Excelente protección contra corrosión y  desgaste - Incluso en condiciones húmedas • Excelente resistencia al agua - Buena  resistencia al lavado de los rodamientos • Excelente estabilidad a alta temperatura -  Ofrece protección duradera para los rodamientos • Excelente capacidad de bombeo a baja  temperatura - Fácil manejo en el contenedor y  equipo de distribución de grasa","Las grasas Starplex EP están diseñadas para un uso  extremo en una amplia variedad de aplicaciones de  vehículos y equipos de carretera y todoterreno ligeros.  Adecuada para las aplicaciones en Volvo 97720 (NLGI  Grado 2). Camiones de carga pesada en carreteras - Estos  lubricantes son perfectos para una amplia variedad de  camiones de la clase 8 en la mayoría de las  aplicaciones de chasis y rodamientos (cojinetes de  bolas), que comprenden desde sistemas automáticos  de engrase centralizado hasta rodamientos (cojinetes  de bolas) que funcionan cerca de las altas  temperaturas de los frenos de disco. Este producto es  apto para la mayoría de las aplicaciones, desde  propietarios/operadores hasta flotas (especialmente  aquellas que consideran intervalos prolongados de  servicio de mantenimiento). Vehículos todoterreno ligeros - Tanto si la  aplicación es en la explotación forestal, la agricultura o  los servicios públicos, estas grasas tendrán un buen  desempeño. Utilícelas en tractores, recolectoras de  cerezas o en cualquiera de los numerosos vehículos  todoterreno ligeros. Para aplicaciones de construcción  pesada y minería, consulte la Hoja de datos del  producto Grasa Chevron Starplex HD. Camiones y autobuses medianos y ligeros - Al  igual que sus homólogos de servicio pesado, los  vehículos y autobuses de las clases 7 y 6 requieren una  grasa para uso extremo. Las grasas Starplex EP le  proporcionarán ese desempeño. Automóviles - Las grasas Starplex EP son lubricantes  excepcionales para rodamientos (cojinetes de bolas) de  alta temperatura y otras aplicaciones automotrices de  alto desempeño. Vehículos de carga pesada para construcción y  mantenimiento de carreteras y vías no  asfaltadas - Estos productos son indicados para  engrasar piezas de vehículos pesados de carretera y  todoterreno. Las grasas Starplex EP son una excelente  elección para pernos rey, bujes y pernos de cubo,  quintas ruedas y otras aplicaciones de servicio severo  que se encuentran en este tipo de vehículos. También  son ideales para las aplicaciones de carga pesada en  carreteras, así como para equipo diverso de uso mixto.  Las grasas Starplex EP cumplen con los requisitos de la  especificación para grasa de Mack MG-C. De la misma  forma, cumplen con las recomendaciones de Caterpillar  sobre grasas con un contenido de 3 % de disulfuro de  molibdeno. Las grasas Starplex EP son NLGI GC- LB certificada (NLGI 1 y 2).  15 marzo 2025",Rojo,Adherente
60,Starplex EP 0 235211,,Complejo de Litio,0,220.0,370,235,,315.0,0.45,50.0,,,,-40.0,132.0,,Starplex® EP es una línea completa de grasas que  están disponibles con o sin disulfuro de molibdeno.  Estas grasas son grasas de presión extrema  técnicamente avanzadas para una amplia variedad de  aplicaciones en carretera.,"BENEFICIOS PARA EL CLIENTE  Las grasas Starplex EP proporcionan valor a través de: • Capacidad de cargas pesadas de presión  extrema - Protección contra la carga de choque, lo  que favorece una larga vida útil • Excelente protección contra corrosión y  desgaste - Incluso en condiciones húmedas • Excelente resistencia al agua - Buena  resistencia al lavado de los rodamientos • Excelente estabilidad a alta temperatura -  Ofrece protección duradera para los rodamientos • Excelente capacidad de bombeo a baja  temperatura - Fácil manejo en el contenedor y  equipo de distribución de grasa","Las grasas Starplex EP están diseñadas para un uso  extremo en una amplia variedad de aplicaciones de  vehículos y equipos de carretera y todoterreno ligeros.  Adecuada para las aplicaciones en Volvo 97720 (NLGI  Grado 2). Camiones de carga pesada en carreteras - Estos  lubricantes son perfectos para una amplia variedad de  camiones de la clase 8 en la mayoría de las  aplicaciones de chasis y rodamientos (cojinetes de  bolas), que comprenden desde sistemas automáticos  de engrase centralizado hasta rodamientos (cojinetes  de bolas) que funcionan cerca de las altas  temperaturas de los frenos de disco. Este producto es  apto para la mayoría de las aplicaciones, desde  propietarios/operadores hasta flotas (especialmente  aquellas que consideran intervalos prolongados de  servicio de mantenimiento). Vehículos todoterreno ligeros - Tanto si la  aplicación es en la explotación forestal, la agricultura o  los servicios públicos, estas grasas tendrán un buen  desempeño. Utilícelas en tractores, recolectoras de  cerezas o en cualquiera de los numerosos vehículos  todoterreno ligeros. Para aplicaciones de construcción  pesada y minería, consulte la Hoja de datos del  producto Grasa Chevron Starplex HD. Camiones y autobuses medianos y ligeros - Al  igual que sus homólogos de servicio pesado, los  vehículos y autobuses de las clases 7 y 6 requieren una  grasa para uso extremo. Las grasas Starplex EP le  proporcionarán ese desempeño. Automóviles - Las grasas Starplex EP son lubricantes  excepcionales para rodamientos (cojinetes de bolas) de  alta temperatura y otras aplicaciones automotrices de  alto desempeño. Vehículos de carga pesada para construcción y  mantenimiento de carreteras y vías no  asfaltadas - Estos productos son indicados para  engrasar piezas de vehículos pesados de carretera y  todoterreno. Las grasas Starplex EP son una excelente  elección para pernos rey, bujes y pernos de cubo,  quintas ruedas y otras aplicaciones de servicio severo  que se encuentran en este tipo de vehículos. También  son ideales para las aplicaciones de carga pesada en  carreteras, así como para equipo diverso de uso mixto.  Las grasas Starplex EP cumplen con los requisitos de la  especificación para grasa de Mack MG-C. De la misma  forma, cumplen con las recomendaciones de Caterpillar  sobre grasas con un contenido de 3 % de disulfuro de  molibdeno. Las grasas Starplex EP son NLGI GC- LB certificada (NLGI 1 y 2).  15 marzo 2025",Rojo,Adherente
61,Starplex EP 1 259119,,Complejo de Litio,1,220.0,325,245,,315.0,0.45,50.0,,,,-40.0,177.0,,Starplex® EP es una línea completa de grasas que  están disponibles con o sin disulfuro de molibdeno.  Estas grasas son grasas de presión extrema  técnicamente avanzadas para una amplia variedad de  aplicaciones en carretera.,"BENEFICIOS PARA EL CLIENTE  Las grasas Starplex EP proporcionan valor a través de: • Capacidad de cargas pesadas de presión  extrema - Protección contra la carga de choque, lo  que favorece una larga vida útil • Excelente protección contra corrosión y  desgaste - Incluso en condiciones húmedas • Excelente resistencia al agua - Buena  resistencia al lavado de los rodamientos • Excelente estabilidad a alta temperatura -  Ofrece protección duradera para los rodamientos • Excelente capacidad de bombeo a baja  temperatura - Fácil manejo en el contenedor y  equipo de distribución de grasa","Las grasas Starplex EP están diseñadas para un uso  extremo en una amplia variedad de aplicaciones de  vehículos y equipos de carretera y todoterreno ligeros.  Adecuada para las aplicaciones en Volvo 97720 (NLGI  Grado 2). Camiones de carga pesada en carreteras - Estos  lubricantes son perfectos para una amplia variedad de  camiones de la clase 8 en la mayoría de las  aplicaciones de chasis y rodamientos (cojinetes de  bolas), que comprenden desde sistemas automáticos  de engrase centralizado hasta rodamientos (cojinetes  de bolas) que funcionan cerca de las altas  temperaturas de los frenos de disco. Este producto es  apto para la mayoría de las aplicaciones, desde  propietarios/operadores hasta flotas (especialmente  aquellas que consideran intervalos prolongados de  servicio de mantenimiento). Vehículos todoterreno ligeros - Tanto si la  aplicación es en la explotación forestal, la agricultura o  los servicios públicos, estas grasas tendrán un buen  desempeño. Utilícelas en tractores, recolectoras de  cerezas o en cualquiera de los numerosos vehículos  todoterreno ligeros. Para aplicaciones de construcción  pesada y minería, consulte la Hoja de datos del  producto Grasa Chevron Starplex HD. Camiones y autobuses medianos y ligeros - Al  igual que sus homólogos de servicio pesado, los  vehículos y autobuses de las clases 7 y 6 requieren una  grasa para uso extremo. Las grasas Starplex EP le  proporcionarán ese desempeño. Automóviles - Las grasas Starplex EP son lubricantes  excepcionales para rodamientos (cojinetes de bolas) de  alta temperatura y otras aplicaciones automotrices de  alto desempeño. Vehículos de carga pesada para construcción y  mantenimiento de carreteras y vías no  asfaltadas - Estos productos son indicados para  engrasar piezas de vehículos pesados de carretera y  todoterreno. Las grasas Starplex EP son una excelente  elección para pernos rey, bujes y pernos de cubo,  quintas ruedas y otras aplicaciones de servicio severo  que se encuentran en este tipo de vehículos. También  son ideales para las aplicaciones de carga pesada en  carreteras, así como para equipo diverso de uso mixto.  Las grasas Starplex EP cumplen con los requisitos de la  especificación para grasa de Mack MG-C. De la misma  forma, cumplen con las recomendaciones de Caterpillar  sobre grasas con un contenido de 3 % de disulfuro de  molibdeno. Las grasas Starplex EP son NLGI GC- LB certificada (NLGI 1 y 2).  15 marzo 2025",Rojo,Adherente
62,Starplex EP 2 259118,,Complejo de Litio,2,220.0,280,255,,315.0,0.45,50.0,,,,-40.0,177.0,,Starplex® EP es una línea completa de grasas que  están disponibles con o sin disulfuro de molibdeno.  Estas grasas son grasas de presión extrema  técnicamente avanzadas para una amplia variedad de  aplicaciones en carretera.,"BENEFICIOS PARA EL CLIENTE  Las grasas Starplex EP proporcionan valor a través de: • Capacidad de cargas pesadas de presión  extrema - Protección contra la carga de choque, lo  que favorece una larga vida útil • Excelente protección contra corrosión y  desgaste - Incluso en condiciones húmedas • Excelente resistencia al agua - Buena  resistencia al lavado de los rodamientos • Excelente estabilidad a alta temperatura -  Ofrece protección duradera para los rodamientos • Excelente capacidad de bombeo a baja  temperatura - Fácil manejo en el contenedor y  equipo de distribución de grasa","Las grasas Starplex EP están diseñadas para un uso  extremo en una amplia variedad de aplicaciones de  vehículos y equipos de carretera y todoterreno ligeros.  Adecuada para las aplicaciones en Volvo 97720 (NLGI  Grado 2). Camiones de carga pesada en carreteras - Estos  lubricantes son perfectos para una amplia variedad de  camiones de la clase 8 en la mayoría de las  aplicaciones de chasis y rodamientos (cojinetes de  bolas), que comprenden desde sistemas automáticos  de engrase centralizado hasta rodamientos (cojinetes  de bolas) que funcionan cerca de las altas  temperaturas de los frenos de disco. Este producto es  apto para la mayoría de las aplicaciones, desde  propietarios/operadores hasta flotas (especialmente  aquellas que consideran intervalos prolongados de  servicio de mantenimiento). Vehículos todoterreno ligeros - Tanto si la  aplicación es en la explotación forestal, la agricultura o  los servicios públicos, estas grasas tendrán un buen  desempeño. Utilícelas en tractores, recolectoras de  cerezas o en cualquiera de los numerosos vehículos  todoterreno ligeros. Para aplicaciones de construcción  pesada y minería, consulte la Hoja de datos del  producto Grasa Chevron Starplex HD. Camiones y autobuses medianos y ligeros - Al  igual que sus homólogos de servicio pesado, los  vehículos y autobuses de las clases 7 y 6 requieren una  grasa para uso extremo. Las grasas Starplex EP le  proporcionarán ese desempeño. Automóviles - Las grasas Starplex EP son lubricantes  excepcionales para rodamientos (cojinetes de bolas) de  alta temperatura y otras aplicaciones automotrices de  alto desempeño. Vehículos de carga pesada para construcción y  mantenimiento de carreteras y vías no  asfaltadas - Estos productos son indicados para  engrasar piezas de vehículos pesados de carretera y  todoterreno. Las grasas Starplex EP son una excelente  elección para pernos rey, bujes y pernos de cubo,  quintas ruedas y otras aplicaciones de servicio severo  que se encuentran en este tipo de vehículos. También  son ideales para las aplicaciones de carga pesada en  carreteras, así como para equipo diverso de uso mixto.  Las grasas Starplex EP cumplen con los requisitos de la  especificación para grasa de Mack MG-C. De la misma  forma, cumplen con las recomendaciones de Caterpillar  sobre grasas con un contenido de 3 % de disulfuro de  molibdeno. Las grasas Starplex EP son NLGI GC- LB certificada (NLGI 1 y 2).  15 marzo 2025",Rojo,Adherente
63,ULTRAPLEX MCS 1,,Complejo Sulfonato de Calcio,1,460.0,320,>300,,620.0,0.31,,,L-XBEIB 1,,-20.0,180.0,,Grasa fabricada con aceite base de alta viscosidad  y espesante sulfonato de calcio. Las características  especiales de este espesante complejo confieren a  esta grasa excelentes propiedades anticorrosivas y  de extrema presión. Adicionalmente lleva aditivos  especiales  para  reforzar  su  capacidad  extrema  presión. ,Excelente  capacidad  de  soporte  de  carga.   - Alta  protección  frente  a  la  corrosión  de  las  partes metálicas y gran  resistencia al lavado  por agua.                                                 - Alta  estabilidad  al  trabajo  mecánico  incluso  bajo condiciones severas de operación.   - Extraordinaria  adherencia  que  asegura  la  protección  de  los  mecanismos  bajo  altas  cargas y presencia de agua.   - Por su elevado punto de gota y aceite base de  alto refino puede trabajar a temperaturas de    -20 a +180ºC.   - Elevada resistencia al envejecimiento.,"Especialmente  indicada  en  la  lubricación  de  cojinetes,  engranajes  abiertos,  reductores,  acoplamientos  de  engranajes,  cables  y  otros  componentes  mecánicos  sometidos  a  muy  altas  cargas y condiciones ambientales desfavorables.    Por  sus  propiedades  especiales  ofrece  alta  protección  de  los  mecanismos  en  todo  tipo  de  industria:  minera,  obras  públicas,  naviera  y  portuaria,  siderúrgica,  cementera,  papelera,  alimentaria, granuladoras, etc. ",Ambar,Adherente
64,ULTRAPLEX MCS 2,,Complejo Sulfonato de Calcio,2,460.0,285,>300,,620.0,0.31,,,L-XBEIB 2,,-20.0,180.0,,Grasa fabricada con aceite base de alta viscosidad  y espesante sulfonato de calcio. Las características  especiales de este espesante complejo confieren a  esta grasa excelentes propiedades anticorrosivas y  de extrema presión. Adicionalmente lleva aditivos  especiales  para  reforzar  su  capacidad  extrema  presión. ,Excelente  capacidad  de  soporte  de  carga.   - Alta  protección  frente  a  la  corrosión  de  las  partes metálicas y gran  resistencia al lavado  por agua.                                                 - Alta  estabilidad  al  trabajo  mecánico  incluso  bajo condiciones severas de operación.   - Extraordinaria  adherencia  que  asegura  la  protección  de  los  mecanismos  bajo  altas  cargas y presencia de agua.   - Por su elevado punto de gota y aceite base de  alto refino puede trabajar a temperaturas de    -20 a +180ºC.   - Elevada resistencia al envejecimiento.,"Especialmente  indicada  en  la  lubricación  de  cojinetes,  engranajes  abiertos,  reductores,  acoplamientos  de  engranajes,  cables  y  otros  componentes  mecánicos  sometidos  a  muy  altas  cargas y condiciones ambientales desfavorables.    Por  sus  propiedades  especiales  ofrece  alta  protección  de  los  mecanismos  en  todo  tipo  de  industria:  minera,  obras  públicas,  naviera  y  portuaria,  siderúrgica,  cementera,  papelera,  alimentaria, granuladoras, etc. ",Ambar,Adherente
65,ELKALUB    GLS 163,Mineral,Orgánico Sintético,,,290,250,,,,,,,,,,,"GLS 163 es una grasa verde de fibra corta, de una extremada pureza y alta resistencia a la  presión. Es resistente al agua y puede ser usada en cojinetes antifricción y rodamientos. Presenta  un comportamiento tixotrópico, es decir, que sus valores de penetración son casi 100 puntos  inferiores en reposo (la grasa es más sólida). Esto representa una ventaja en cojinetes con sellado  insuficiente o con altas tolerancias.","La bombeabilidad    de la  GLS 163 en unidades de lubricación centralizada es buena. La  grasa no separa aceite. Debido a su tixotropía, el depósito de suministro debe tener un  pistón seguidor para someter la grasa a presión. Una ligera presión fluidifica  inmediatamente la grasa. ","Esta grasa parcialmente sintética presenta una textura muy flexible, por lo que está  especialmente indicada para lubricar mecanismos con pequeñas y continuas oscilaciones de  movimiento. En estado de reposo, la grasa recupera sus valores iníciales.    Debido a su composición química, GLS 163, sometida a altas temperaturas causadas por  condiciones externas o internas, forma bisulfuro de molibdeno, que garantiza la lubricación.  Los puntos de lubricación aparecen entonces grises o negros. Ejemplos de aplicación:         Asientos de las pinzas, husillos, cojinetes lentos con sellado insuficiente, cojinetes rápidos con  buen sellado. ",Verde,Adherente
